uid,nom,num,numvoie,voie,codepost,commune,code_insee,surf_tot_m2,clos
PAR-69204-001,Parc historique de Beauregard,1,,Rue Edouard Millaud,69230,Saint-Genis-Laval,69204,36358,
PAR-69204-002,Parc de la Maison des Champs,2,130,Avenue Georges Clemenceau,69230,Saint-Genis-Laval,69204,4506,
PAR-69286-008,Parc des Horizons,8,10,Boulevard De Lattre de Tassigny,69140,Rillieux-la-Pape,69286,10804,2015
PAR-69266-040,Espace de vie de l'Abbe Bordes,40,33,Rue Armand,69100,Villeurbanne,69266,3423,1989
PAR-69266-096,Parc Jacob Hugentobler (et Esplanade),96,20,Rue Valentin Haüy,69100,Villeurbanne,69266,6215,2017
PAR-69266-088,Square Félix Lebossé,88,85,Rue Anatole France,69100,Villeurbanne,69266,4299,1978
PAR-69266-039,Square Henri Bertrand,39,119,Rue Anatole France,69100,Villeurbanne,69266,1521,
PAR-69266-098,Square du Château,98,61,Rue Château Gaillard,69100,Villeurbanne,69266,5637,
PAR-69256-002,Jardin de la Paix et des Libertés,2,,Rue Condorcet,69120,Vaulx-en-Velin,69256,10693,2005
PAR-69266-181,Jardin des Poulettes,181,45,Rue Edouard Vaillant,69100,Villeurbanne,69266,553,2004
PAR-69266-180,Jardin de poche Bienvenus Perroncel,180,132,Rue des Bienvenus,69100,Villeurbanne,69266,365,2011
PAR-69266-187,Square Alice et Andre Vansteenberghe,187,11,Rue Château Gaillard,69100,Villeurbanne,69266,3053,1991
PAR-69266-194,Square du 19 mars 1962,194,,Rue Francis de Pressensé,69100,Villeurbanne,69266,1955,1961
PAR-69266-195,Square du Temps des Cerises,195,,Rue Prisca,69100,Villeurbanne,69266,2824,1992
PAR-69266-207,Square Association Rhin et Danube,207,212,Rue Francis de Pressensé,69100,Villeurbanne,69266,271,1966
PAR-69266-212,Square des Anciens Combattants d'Afrique du Nord,212,132,Rue Louis Becker,69100,Villeurbanne,69266,2510,
PAR-69266-369,Square de la Concorde,369,63,Rue Henri Legay,69100,Villeurbanne,69266,610,1970
PAR-69266-379,Espace de l'Europe Jean Monnet,379,,Avenue Antoine Dutrievoz,69100,Villeurbanne,69266,17944,1980
PAR-69266-381,Parc Etienne Gagnaire,381,3,Rue Etienne Gagnaire,69100,Villeurbanne,69266,8728,2001
PAR-69266-382,Parc de la Commune de Paris,382,83,Rue Pierre Voyant,69100,Villeurbanne,69266,25251,1966
PAR-69266-384,Square de la Doua,384,,Boulevard du 11 Novembre 1918,69100,Villeurbanne,69266,11362,1978
PAR-69266-385,Parc Marx Dormoy,385,2,Rue de la Pouponnière,69100,Villeurbanne,69266,2624,1925
PAR-69266-386,Square de la Plaine Robinson,386,192,Rue du 4 Août 1789,69100,Villeurbanne,69266,1202,
PAR-69266-387,Jardin de l'Embellie,387,1,Rue Bernard Lecache,69100,Villeurbanne,69266,2957,
PAR-69266-388,Jardin des Clairs-Bois,388,51,Rue Dedieu,69100,Villeurbanne,69266,237,2007
PAR-69266-392,Square Marcel Doret,392,2,Rue Marcel Doret,69100,Villeurbanne,69266,423,
PAR-69266-389,Square de la France Libre - Charles de Gaulle,389,251,Cours Emile Zola,69100,Villeurbanne,69266,2332,1967
PAR-69266-390,Square Edmond Michelet,390,10,Avenue Condorcet,69100,Villeurbanne,69266,1769,
PAR-69266-391,Square Gendron,391,36,Rue Viret,69100,Villeurbanne,69266,408,
PAR-69382-02247,Jardin Aquatique Ouagadougou,2247,1,Quai Rambaud,69002,Lyon,69382,9718,
PAR-69256-057,Square Monique Martin,57,,Rue Jeanne Morel,69120,Vaulx-en-Velin,69256,146,
PAR-69286-009,Parc boisé de Vancia Château Bérard,9,5059,Route de Strasbourg,69140,Rillieux-la-Pape,69286,83921,2021
PAR-69256-037,Esplanade Tase,37,,Avenue des Canuts/Avenue Bataillon Carmagole Liber,69120,Vaulx-en-Velin,69256,14090,2020
PAR-69256-038,Allée des Marronniers,38,,Allée des Marronniers,69120,Vaulx-en-Velin,69256,1037,2020
PAR-69383-53333,Berge du Rhône 3e,53333,1,Quai Victor Auganeur,69003,Lyon,69383,32786,
PAR-69383-03016,Bois des Chênes,3016,37,Rue Jules Massenet,69003,Lyon,69383,10201,
PAR-69256-039,Espace vert des Verchères,39,,Rue des Verchères,69120,Vaulx-en-Velin,69256,3604,
PAR-69256-040,Square André Malraux,40,,Square André Malraux,69120,Vaulx-en-Velin,69256,2706,2017
PAR-69256-013,Jardin astronomique du Planétarium,13,,Place de la Nation,69120,Vaulx-en-Velin,69256,2782,2017
PAR-69266-214,Parc Edouard Glissant,214,62,Avenue Roger Salengro,69100,Villeurbanne,69266,3408,2011
PAR-69256-003,Square Danielle Casanova,3,,Avenue Roger Salengro,69120,Vaulx-en-Velin,69256,4373,
PAR-69256-008,Parc du Château,8,,Rue Franklin,69120,Vaulx-en-Velin,69256,4361,2015
PAR-69266-003,Jardin Alexis Jordan,3,77,Rue Château Gaillard,69100,Villeurbanne,69266,7444,2004
PAR-69266-377,Square des Justes,377,16,Rue Docteur Ollier,69100,Villeurbanne,69266,81,
PAR-69286-029,Parc de la Roue,29,,Rue de la Barse,69140,Rillieux-la-Pape,69286,6665,1970
PAR-69266-011,Parc des Droits de l'Homme - Maison des aînés,11,56,Rue Du 1 Mars 1943,69100,Villeurbanne,69266,17603,1981
PAR-69266-013,Parc Vaclav Havel,13,118,Cours Tolstoï,69100,Villeurbanne,69266,2636,2013
PAR-69266-014,Square Berty Albrecht,14,14,Place Jules Grandclément,69100,Villeurbanne,69266,1129,1977
PAR-69266-015,Square de la Roseraie,15,28,Avenue Marc Sangnier,69100,Villeurbanne,69266,2857,1956
PAR-69266-016,Square du Bataillon Carmagnole Liberté,16,,Rue du 4 Septembre 1797,69100,Villeurbanne,69266,1356,1982
PAR-69266-020,Jardin Jean Rictus,20,32,Rue Docteur Frappaz,69100,Villeurbanne,69266,1775,2010
PAR-69266-021,Square Léon Meiss,21,,Allée Léon Meiss,69100,Villeurbanne,69266,1157,1994
PAR-69266-018,Jardin des tout petits Adolphe Lafont,18,19,Avenue Marc Sangnier,69100,Villeurbanne,69266,2863,1929
PAR-69266-025,Dalle Jules Guesde,25,116,Rue de la Ligne de l'Est,69100,Villeurbanne,69266,7396,
PAR-69266-029,Square Roger Palanche et René Vidal,29,,Rue des Charmettes,69100,Villeurbanne,69266,202,
PAR-69266-033,Jardin Alfred Sauvy,33,46,Rue du Progrès,69100,Villeurbanne,69266,1989,
PAR-69266-034,Square Allée du Couchant,34,,Allée du Couchant,69100,Villeurbanne,69266,2138,
PAR-69266-031,Jardin Marcel Claeys,31,27,Rue Hippolyte Kahn,69100,Villeurbanne,69266,654,
PAR-69266-032,Square Victor Basch,32,24,Rue Victor Basch,69100,Villeurbanne,69266,384,
PAR-69266-042,Square Jacques Prevert,42,63,Cours Tolstoï,69100,Villeurbanne,69266,6262,1978
PAR-69266-038,Square Florian,38,56,Rue Florian,69100,Villeurbanne,69266,3332,1973
PAR-69266-044,Jardin des Milles Couleurs,44,2,Rue Pierre Baratin,69100,Villeurbanne,69266,2273,1999
PAR-69266-106,Parc Chanteur,106,53,Rue Francis de Pressensé,69100,Villeurbanne,69266,7458,1994
PAR-69266-367,Parc Jorge Semprun,367,14,Rue Willy Brandt,69100,Villeurbanne,69266,5313,2019
PAR-69266-376,Parc Nathalie Gautier,376,18,Rue Jean Jaurès,69100,Villeurbanne,69266,2823,2007
PAR-69266-378,Square Henri Frenay,378,,Rue Julien Peyhorgue,69100,Villeurbanne,69266,1336,
PAR-69266-380,Parc Vaillant couturier,380,59,Rue Léon Blum,69100,Villeurbanne,69266,7952,1946
PAR-69266-394,Parc René Dumont,394,66,Avenue Galline,69100,Villeurbanne,69266,2249,
PAR-69266-395,Square René Pellet,395,74,Cours Emile Zola,69100,Villeurbanne,69266,1529,1994
PAR-69266-393,Square Marie Claude Thivillon,393,3,Rue Frédéric Faÿs,69100,Villeurbanne,69266,253,
PAR-69266-397,Square Maurice Ferréol,397,11,Rue de l'Avenir,69100,Villeurbanne,69266,4122,
PAR-69286-030,Parc de Buisière,30,10,chemin de la Buissière,69140,Rillieux-la-Pape,69286,3760,1990
PAR-69385-55066,Jardin place des Minimes,55066,1,Place des Minimes,69005,Lyon,69385,6718,
PAR-69388-08300,Jardin place Jean Mermoz,8300,1,Place Jean Mermoz,69008,Lyon,69388,9036,
PAR-69383-53072,Jardin place Pierre Renaudel,53072,1,Place Pierre Renaudel,69003,Lyon,69383,2230,
PAR-69286-028,Parc Doisneau,28,5,Rue Alexandre Dumas,69140,Rillieux-la-Pape,69286,4638,2022
PAR-69286-017,Parc Linéaire,17,165,Rue Ampère,69140,Rillieux-la-Pape,69286,70510,2018
PAR-69256-001,Parc Elsa Triolet,1,137,Avenue du 8 mai 1945,69120,Vaulx-en-Velin,69256,30555,
PAR-69387-07290,Parc des Berges Sud,7290,1,Quai du Canada,69007,Lyon,69387,49728,
PAR-69286-035,Place du Château,35,1,Place du Château,69140,Rillieux-la-Pape,69286,3262,1970
PAR-69286-003,Les parcs urbain de Vancia,3,6,Rue de l'école,69140,Rillieux-la-Pape,69286,9815,1980
PAR-69286-024,Bois de Osterode,24,741,Route du Mas Rillier,69140,Rillieux-la-Pape,69286,96224,2021
PAR-69286-038,Vallons du Ravins Ouest,38,,,69140,Rillieux-la-Pape,69286,98932,
PAR-69040-001,Parc Simone Veil,1,,Rue de la Mairie,69410,Champagne-au-Mont-d'Or,69040,3031,
PAR-69040-003,Parc des Loustics,3,,Rue de la Mairie,69410,Champagne-au-Mont-d'Or,69040,1877,2013
