uid;id_ariane;nom;num;numvoie;voie;codepost;commune;code_insee;reglement;surf_tot_m2;gestion;ann_ouvert;clos;openinghoursspecification;precision_horaires;acces;circulation;label;type_equip;eau;toilettes;chien;esp_can;photo;gid;openinghours;last_update_fme;horaires
PAR-69204-001;;Parc historique de Beauregard;1;;Rue Edouard Millaud;69230;Saint-Genis-Laval;69204;;36358,95;Commune;;oui;;;Piéton;;non;Édifice|Fontaine|Jardin à l'anglaise|Jardin potager;oui;oui;Tenus en laisse;Non;;371;"['Mo-Su 08:00-18:00']";2022-03-31 14:13:25.310293+02:00;
PAR-69204-002;;Parc de la Maison des Champs;2;130;Avenue Georges Clemenceau;69230;Saint-Genis-Laval;69204;;4506,04;Commune;;oui;;selon activités;Piéton;;non;Terrain de pétanque;non;non;Tenus en laisse;Propreté;;372;"['Mo-Su 08:00-18:00']";2022-03-31 14:13:25.630638+02:00;
PAR-69286-008;;Parc des Horizons;8;10;Boulevard De Lattre de Tassigny;69140;Rillieux-la-Pape;69286;oui;10804,0;Commune;2015;non;"[]";;Piéton / Cycle / Motorisé;Piétonne;non;Aire de jeux / Terrain Sportif;oui;oui;Tenus;non;;68;"[]";2024-07-08 16:04:53.072354+02:00;
PAR-69266-040;;Espace de vie de l'Abbe Bordes;40;33;Rue Armand;69100;Villeurbanne;69266;Oui;3423,62539558;Commune;1989;Oui;;;Piéton;Piéton;Non;Fontaine-Terrain de pétanque-Aire de jeux;Oui;Non;Non;Non;0;395;"['Oct-Mar 08:00-19:00', 'Apr-Sep 08:00-22:00']";2022-06-07 17:46:57.730566+02:00;"Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00"
PAR-69266-096;;Parc Jacob Hugentobler (et Esplanade);96;20;Rue Valentin Haüy;69100;Villeurbanne;69266;Oui;6215,48539433;Commune;2017;Oui;;;Piéton;Piéton;Non;Fontaine-Aire de jeux;Oui;Non;Non;Non;0;401;"['Oct-Mar 08:00-19:00', 'Apr-Sep 08:00-22:00']";2022-06-07 17:46:57.733273+02:00;"Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00"
PAR-69266-088;;Square Félix Lebossé;88;85;Rue Anatole France;69100;Villeurbanne;69266;Oui;4299,03682266;Commune;1978;Oui;;;Piéton;Piéton;Non;Aire de jeux;Non;Non;Non;Non;0;400;"['Oct-Mar 08:00-19:00', 'Apr-Sep 08:00-22:00']";2022-06-07 17:46:57.732830+02:00;"Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00"
PAR-69266-039;;Square Henri Bertrand;39;119;Rue Anatole France;69100;Villeurbanne;69266;Oui;1521,04208196;Commune;;Oui;;;Piéton;Piéton;Non;;Non;Non;Non;Non;0;394;"['Oct-Mar 08:00-19:00', 'Apr-Sep 08:00-22:00']";2022-06-07 17:46:57.730120+02:00;"Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00"
PAR-69266-098;;Square du Château;98;61;Rue Château Gaillard;69100;Villeurbanne;69266;Oui;5637,92951374;Commune;;Oui;;;Piéton;Piéton;Non;Fontaine-Aire de jeux;Oui;Non;Non;Non;0;402;"['Oct-Mar 08:00-19:00', 'Apr-Sep 08:00-22:00']";2022-06-07 17:46:57.733925+02:00;"Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00"
PAR-69256-002;S8092;Jardin de la Paix et des Libertés;2;;Rue Condorcet;69120;Vaulx-en-Velin;69256;Oui;10693,0;Ville;2005;Oui;"[{'opens': '00:00', 'closes': '23:59', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Motorisé;Piéton;Non;Aire de jeux, Pique-nique;Non;Oui;Non autorisés;Non;nr;20;"""['Sep-May 06:30-19:30;Jun-Aug 06:30-23:00']""";2024-08-21 09:23:55.776740+02:00;"Sep-May 06:30-19:30;Jun-Aug 06:30-23:00"
PAR-69266-181;;Jardin des Poulettes;181;45;Rue Edouard Vaillant;69100;Villeurbanne;69266;Oui;553,100149903;Commune;2004;Oui;;;Piéton;Piéton;Non;Fontaine-Aire de jeux;Oui;Non;Non;Non;0;405;"['Oct-Mar 08:00-19:00', 'Apr-Sep 08:00-22:00']";2022-06-07 17:46:57.735444+02:00;"Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00"
